source,url_or_doi,license_status,rows_or_compounds,temperature_availability,structure_availability,usable_as_training,decision_reason,notes
NIST official/API,https://trc.nist.gov/ThermoML | https://trc.nist.gov/ThermoML-API/objects,Public archive; no explicit machine-readable license field audited,205 local XML; 91 dielectric source documents; 11646 observations; 103 all-temperature zero-frequency pure keys; 100 near-298 pure keys,Yes; explicit ThermoML temperature fields,Yes; ThermoML molecular records,partial,Primary open source but only 100 near-room pure compounds and 103 all-temperature zero-frequency pure compounds,Do not mix frequency-dependent or mixture observations into the pure near-room training set
NBS Circular 514,https://doi.org/10.6028/nbs.circ.514,US Government publication; public PDF served by NIST,800+ critically evaluated pure liquids; 636 raw extracted rows; 454 strict unique near-room candidates; 110 selected for v0.2,Yes; tabulated Celsius temperature and alpha temperature coefficients,Name plus formula transcribed from source; PubChem/CACTUS structure resolution with formula validation,yes,Provides the additional open source needed to exceed 200 unique compounds while retaining source page and quality metadata,Frequency-footnoted rows and hazardous/reactive motifs are excluded from v0.2; PDF SHA256 cb3fa9239fd977d7fa85389fbc219baea69667d5cc7c9e5382b09157fda40683
ChalkLab NIST-TRC JSONLD,https://github.com/chalklab/Dataset-NIST-TRC-JSONLD/tree/681a946669feaf6ccc13ba6e1de760385c57ce73,CC0-1.0,5 archives; 411920425 bytes; 122403 JSONLD entries; 103 all-temperature zero-frequency pure keys; 100 overlap v0.1; 3 new keys; 161 zero-frequency plus various-frequency pure keys; 187 component universe,Yes; records retain source temperature context,Yes; JSONLD records,no,Open automation ceiling remains below 200 and the 3 new zero-frequency compounds are outside the near-room window,All five archive hashes are recorded in probes/data_expansion_summary.json; near-298 new additions are zero
ChemDataExtractor Figshare dataset,https://doi.org/10.1038/s41597-022-01295-5 | https://doi.org/10.6084/m9.figshare.19100375.v1,CC BY 4.0,60804 dielectric records; 11054 compounds,No independent structured temperature field,Compound-level text-derived records,no,Temperature is not independently structured and reported precision is insufficient for direct labels,Candidate discovery only
MNSOL,https://comp.chem.umn.edu/mnsol/,Public academic database; reuse terms not audited in this pass,Not counted in this audit,Partial and not systematically verified,Compound-level records; no bulk audit performed,no,No verified route to pure near-room zero-frequency dielectric labels in this audit,Solvation-focused database
VirtualChemistry,https://www.virtualchemistry.org/,Public website; bulk reuse status not audited,Not counted in this audit,Not audited,Not audited,no,No audited bulk export license or coverage proof,Potential candidate discovery source only
SolvFunc-87,https://github.com/Teoroo-CMC/Batt-SLM/blob/a5101e30c6975552d97e34f1e93461126715c862/CPI/SolvFunc-87.csv,MIT repository license,87 rows; 87 compounds,No temperature calibration,SMILES and InChI present,no,Relevance and family metadata only,Uses are AL tiering and context not dielectric training
RX-392,https://github.com/Teoroo-CMC/Batt-SLM/blob/a5101e30c6975552d97e34f1e93461126715c862/Redox-Pot/Redox-Ener/RX-392.csv,MIT repository license,392 redox molecules,No independent temperature field; fixed DIELECTRIC=18 solvent condition,InChI to canonical SMILES/InChIKey,no,Redox targets are not dielectric labels,P4 redox source only
EC Chernyak,https://doi.org/10.1021/je050341y,Subscription article; manual extraction,1 compound; 1 manual measurement point,313.15 K explicit,Yes for ethylene carbonate,partial,Single 1 MHz point can supplement but cannot train the zero-frequency pure near-room table,Ethylene carbonate dielectric 90.5; not extrapolated to other temperatures
308 ECW,https://doi.org/10.1002/adfm.202212342,Closed and unavailable; publisher access blocked,0 accessible rows,Not available,Metadata only,no,No open data relationship and no accessible rows,No rows fabricated
Landolt-Börnstein 2015,https://doi.org/10.1007/978-3-662-48168-4,Closed subscription; no open license,>=217 pure substance chapter metadata,Metadata indicates temperature coverage; row-level values not transcribed,Chapter and substance metadata available,no,Quantity may be sufficient but use as v0.2 labels requires manual per-record review and rights handling,Static dielectric constants of pure liquids and binary liquid mixtures; manual transcript candidate
Landolt-Börnstein IV/17,https://doi.org/10.1007/978-3-540-75506-7,Closed subscription; no open license,Not counted in this audit,Not systematically audited,Metadata and chapter structure only,no,Supplemental closed reference without an audited machine-readable extraction path,Manual source only
CRC Handbook Permittivity of Liquids,https://hbcp.chemnetbase.com/faces/contents/ContentsSearch.xhtml,Official page login; subscription access,Unknown until authenticated manual review,Handbook temperature entries expected but not machine-audited,Compound names and tables available after login,no,Potentially sufficient quantity but no open bulk extract and per-row verification is required,Manual transcript candidate only
DDBST no-data policy,https://www.ddbst.com/en/ddbst/No-Data-Policy.php,Public policy page; database access separately licensed,0 imported from no-data policy,Temperature data are not exposed by the policy page,No structure records on the policy page,no,The policy page is an access constraint not a dataset,Use to record redistribution and no-data handling constraints
DTU fluorescence dataset,https://data.dtu.dk/,Second-round source access status not fully audited,Not counted as qualifying dielectric records,Fluorescence measurements are not dielectric temperatures,Not audited as a clean structure table,no,Fluorescence response is not a pure-component zero-frequency dielectric label,Second-round source rejected for direct v0.2 training
Binary-solvent QSPR Figshare,https://doi.org/10.6084/m9.figshare.2802712,Open DOI; license not machine-verified in this pass,Mixture-focused QSPR data; not counted as pure compound keys,Mixture composition and property context,Structure representation not audited for canonical purity,no,Mixture QSPR labels are outside the pure-component near-room zero-frequency v0.2 definition,Second-round source excluded from pure training
GitHub binary mixture repository,https://github.com/MDMISC/Dielectric_constants_binary_mixtures,No license declared,Mixture modeling code and data; counts not audited,Binary mixture conditions,Repository-level data not audited as canonical pure structures,no,No license and mixture-only scope block direct v0.2 use,Second-round source excluded pending license and pure-label evidence
